Карта,Количество Анномальных Операций,Процент Анномальных Операций (%),Подтверждено
3A68C9A32E07603A1D5EA7CE1A800EB6,119,100,False
5B0DAB9E62FAB376AA393570542D4A24,70,100,False
5C9A4493CE2FA41FFA4177040508F79D,72,100,False
3DF67476D4B8D3A316253914B7876DD8,33,97.1,False
65ED89B2AD0F00F56F9270B31F2CD07C,23,95.8,False
6DA8E114252EAC70EBCEDA00000DA36D,14,93.3,False
9549427CFE8A5A47604FE0C642D8571A,19,90.5,False
0DF279A5330E87CA5B21B7E15ECF99B3,29,87.9,False
EE188AEF5A9D53082CDA0E724BCC70B0,28,87.5,False
C28EEBB1FD96F19607395D2E02A8C271,15,83.3,False
92431722440CAFCE999CB3516FEE4D8E,18,75,True
EE4B00733ECA6984C49CC382E8DB7DD1,21,72.4,True
21F15F4BE17695EFCA8BFFD32FC818DD,26,72.2,False
54190FF44C90DD92A1AA4C76C5F88FDF,20,71.4,True
727D93FDAA47571B418972B233C80D0D,22,71,False
9067B0D7E05020EA365C5F2C64C66A9B,20,69,True
8AEE3629886BEC0B82CD57A8C11C8C79,15,68.2,True
57DEF20041BEC3C1CBC3059FE48AE0F3,21,67.7,False
E1245EA55B7C77754EA80A6255D5CB14,16,66.7,False
8C646A77FD2F46091A8387D4B734D9EE,16,64,True
7FF8AAB13097C5BE5B5CA87235BF0584,17,63,True
2995EEBDFF85CC9918CB902823460774,18,62.1,True
DFB4F765776BA76E7D126843510D3F89,17,60.7,True
A030FCF1AA17A54F00AD02ACF5161F2D,16,59.3,True
5794F9D47FDEE1D4A26B06043F67DC3C,17,58.6,True
6F38B8149B2D839E043975E8D549BD50,15,57.7,True
0E9C46C3CCF621D890F4466F0A77BA4F,15,55.6,True
718CFB8623F87B327AF57655CD2DEE16,14,53.8,True
FE5A94AF13607C7CA50798F399D1087D,14,53.8,True
72CBCE8C05E91763BE80573CA70A1E6A,15,53.6,True
13068D545189D5E3C5765FA5367793A2,15,53.6,False
